GEOID10,COUNTYFP10,POP,WHITE,RRATIO,HS_POP,is_school,enrollment,borders,POS
420454018001,045,1617.0,611.0,0.3778602350030921,56.0,True,1462,"['420454019002', '420454018003', '420454008021', '420454018002', '420454003023', '420454008011', '420454019001']","('+39.9477736', '-075.2728757')"
420454019002,045,585.0,520.0,0.8888888888888888,20.0,False,0,"['420454018001', '420454018003', '420454019003', '420454019004', '420454019001']","('+39.9421264', '-075.2767574')"
420454021003,045,1207.0,30.0,0.024855012427506214,42.0,False,0,"['420454021004', '420454022002', '420454023001', '420454021001', '420454021002', '420454026001', '420454022001']","('+39.9304259', '-075.2553121')"
420454018003,045,1354.0,578.0,0.42688330871491875,47.0,False,0,"['420454018001', '420454019002', '420454020001', '420454019003', '420454018002', '420454003023', '420454003021']","('+39.9414578', '-075.2695901')"
420454020001,045,686.0,294.0,0.42857142857142855,24.0,False,0,"['420454018003', '420454033002', '420454020002', '420454019003', '420454032001', '420454033003', '420454003023', '420454033001', '420454003021']","('+39.9375355', '-075.2697920')"
420454032002,045,999.0,748.0,0.7487487487487487,35.0,False,0,"['420454031032', '420454032004', '420454032003', '420454032001', '420454016001', '420454031031', '420454026002', '420454031012', '420454016002']","('+39.9224166', '-075.2816437')"
420454025001,045,1596.0,0.0,0.0,55.0,False,0,"['420454025003', '420454031031', '420454025002', '420454026002', '420454026001', '420454031041']","('+39.9201797', '-075.2611345')"
420454024003,045,771.0,142.0,0.18417639429312582,27.0,False,0,"['420454028002', '420454027002', '420454024002', '420454028001', '420454025003']","('+39.9149972', '-075.2586593')"
420454032004,045,1048.0,554.0,0.5286259541984732,36.0,False,0,"['420454032002', '420454033004', '420454032003', '420454032001', '420454015022', '420454033003', '420454015024']","('+39.9219427', '-075.2930673')"
420454032003,045,1037.0,939.0,0.90549662487946,36.0,False,0,"['420454031032', '420454032002', '420454032004', '420454032001', '420454015024', '420454030022', '420454030021', '420454031012']","('+39.9186844', '-075.2901595')"
420454027002,045,852.0,146.0,0.17136150234741784,30.0,False,0,"['420454024003', '420454028002', '420454027001', '420454024002', '420454028003', '420454029001']","('+39.9098837', '-075.2552388')"
420454020002,045,1774.0,661.0,0.37260428410372043,61.0,False,0,"['420454020001', '420454032001', '420454016001', '420454033003', '420454022002', '420454022001', '420454003021']","('+39.9345240', '-075.2732619')"
420454019003,045,930.0,383.0,0.4118279569892473,32.0,False,0,"['420454019002', '420454018003', '420454020001', '420454033002', '420454019004', '420454014024', '420454033001']","('+39.9382189', '-075.2795862')"
420454019005,045,865.0,461.0,0.5329479768786127,30.0,False,0,"['420454014021', '420454014022', '420454008022', '420454019004', '420454014023', '420454019001', '420454008023']","('+39.9432173', '-075.2858084')"
420454027001,045,1702.0,234.0,0.13748531139835488,59.0,False,0,"['420454027002', '420454024002', '420454024001']","('+39.9137229', '-075.2509289')"
420454018002,045,1148.0,189.0,0.16463414634146342,40.0,False,0,"['420454018001', '420454018003', '420454003023']","('+39.9461896', '-075.2691435')"
420454019004,045,816.0,377.0,0.46200980392156865,28.0,False,0,"['420454019002', '420454019003', '420454019005', '420454014023', '420454019001', '420454014024']","('+39.9403505', '-075.2844139')"
420454021004,045,1374.0,149.0,0.10844250363901019,48.0,False,0,"['420454021003', '420454023001', '420454021001', '420454021002']","('+39.9323963', '-075.2483638')"
